name,alias
Provincial Government of Aurora,PGA
Office of the Provincial Governor,PGO
Office of the Provincial General Service Officer,PGSO
Office of the Provincial Treasurer,TREASURY
Office of the Provincial Budget Officer,BUDGET
Bids and Awards Committee,BAC
Office of the Provincial Accountant,ACCOUNTING
Office of the Provincial Administrator ,PADMIN
Office of the Provincial Social Welfare and Development Officer,PSWDO
Office of the Provincial Legal Officer,
Office of the Vice Governor,VGO
Sanguniang Panlalawigan,SP
Office of the Provincial Human Resource Management Officer,HRMO
Office of the Provincial Agriculturist,OPAG
Office of the Provincial Assessor,ASSESSOR
Office of the Provincial Cooperative Officer ,PCO
Office of the Provincial Engineer,PEO
Office of the Provincial Environment and Natural Resources ,ENRO
Office of the Provincial Equipment Pool Officer,PEPO
Office of the Provincial Planning and Development Coordinator,
Office of the Provincial Tourism Officer,
Office of the Provincial Veterinarian,
"Office of the Provincial Employment, Sports & Culture & Arts for Youth Development Officer",PESCAYDO
Office of the Provincial Health Officer,PHO
Office of the Provincial Nutrition Action,
Office of the Provincial Disaster Risk Reduction Management Officer,PDRRMO
