step1,step2,step3,step4,step5,step6,step7,step8
11068,11160,11254,11348,11443,11538,11635,11732
11761,11851,11942,12034,12126,12219,12313,12407
12466,12562,12658,12756,12854,12952,13052,13152
13214,13316,13418,13521,13625,13729,13835,13941
14007,14115,14223,14332,14442,14553,14665,14777
14847,14961,15076,15192,15309,15426,15545,15664
15738,15859,15981,16104,16227,16352,16477,16604
16758,16910,17063,17217,17372,17529,17688,17848
17975,18125,18277,18430,18584,18739,18896,19054
19233,19394,19556,19720,19884,20051,20218,20387
20754,21038,21327,21619,21915,22216,22520,22829
22938,23222,23510,23801,24096,24395,24697,25003
25232,25545,25861,26181,26506,26834,27166,27503
27755,28099,28447,28800,29156,29517,29883,30253
30531,30909,31292,31680,32072,32469,32871,33279
33584,34000,34421,34847,35279,35716,36159,36606
36942,37400,37863,38332,38807,39288,39774,40267
40637,41140,41650,42165,42688,43217,43752,44294
45269,46008,46759,47522,48298,49086,49888,50702
51155,51989,52838,53700,54577,55468,56373,57293
57805,58748,59707,60681,61672,62678,63701,64741
65319,66385,67469,68570,69689,70827,71983,73157
73811,75015,76240,77484,78749,80034,81340,82668
83406,84767,86151,87557,88986,90439,91915,93415
95083,96635,98212,99815,101444,103100,104783,106493
107444,109197,110980,112791,114632,116503,118404,120337
121411,123393,125407,127454,129534,131648,133797,135981
137195,139434,141710,144023,146373,148763,151191,153658
155030,157561,160132,162746,165402,168102,170845,173634
175184,178043,180949,183903,186904,189955,193055,196206
257809,262844,267978,273212,278549,283989,289536,295191
307365,313564,319887,326338,332919,339633,346483,353470
388096,399739,,,,,,
